日期	时间	command	player_name	message	return
2025-07-25	21:17:27	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;254;198;195m ～(つˆДˆ)つ', 752]
2025-07-25	21:17:27	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;221;160;221m (｀・ω・´)', 752]
2025-07-25	21:17:35	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;248;131;121m (｡>﹏<｡)', 744]
2025-07-25	21:17:35	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;254;250;195m (≧▽≦)/', 744]
2025-07-25	21:17:42	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;248;131;121m (｡>ω<｡)', 737]
2025-07-25	21:17:42	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;216;191;216m _(≧v≦」∠)_', 737]
2025-07-25	21:18:56	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;216;191;216m (｡･ω･｡)', 663]
2025-07-25	21:18:56	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;254;250;195m (｡>ω<｡)', 663]
2025-07-25	21:19:10	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;175;238;238m (｡･ω･｡)', 649]
2025-07-25	21:19:10	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;144;238;144m (〜￣△￣)〜', 649]
2025-07-25	21:20:12	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;175;238;238m (≧▽≦)/', 587]
2025-07-25	21:20:12	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;254;219;193m (｡>ω<｡)', 587]
2025-07-25	21:24:32	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;205;214;210m (≧▽≦)/', 327]
2025-07-25	21:24:32	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;248;131;121m ～(つˆДˆ)つ', 327]
2025-07-25	21:24:50	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;254;198;195m (=・ω・=)', 309]
2025-07-25	21:24:50	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;254;219;193m _(≧v≦」∠)_', 309]
2025-07-25	21:25:01	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;216;191;216m (〜￣△￣)〜', 298]
2025-07-25	21:25:01	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;144;238;144m (ﾉ≧∀≦)ﾉ', 298]
2025-07-25	21:25:17	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;205;214;210m (｡>﹏<｡)', 282]
2025-07-25	21:25:17	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;254;219;193m (=^･ω･^=)', 282]
2025-07-25	21:27:06	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;216;191;216m (=・ω・=)', 173]
2025-07-25	21:27:06	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;221;160;221m ～(つˆДˆ)つ', 173]
2025-07-25	21:27:14	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;221;160;221m (^・ω・^)', 165]
2025-07-25	21:27:14	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;254;219;193m (〜￣△￣)〜', 165]
2025-07-25	21:29:52	init			['\x1b[33m21:30:00\x1b[0m！\x1b[38;2;199;245;190m (=・ω・=)', 7]
2025-07-25	21:35:23	init			['\x1b[33m22:00:00\x1b[0m 整！\x1b[38;2;240;128;128m (ﾉ≧∀≦)ﾉ', 1476]
2025-07-25	21:35:28	init			['\x1b[33m22:00:00\x1b[0m 整！\x1b[38;2;173;216;230m _(:з」∠)_', 1471]
2025-07-25	21:38:34	pinyin	[虫子] fnane1234	kan bu dong	看不懂
2025-07-25	21:38:55	pinyin	[25時] A_Log1c	ni tian zi bao	逆天自保
2025-07-25	21:52:20	init			['\x1b[33m22:00:00\x1b[0m 整！\x1b[38;2;248;131;121m ～(つˆДˆ)つ', 459]
2025-07-25	21:59:49	init			['\x1b[33m22:00:00\x1b[0m 整！\x1b[38;2;248;131;121m (｡>ω<｡)', 10]
2025-07-26	13:39:11	init			['\x1b[33m14:00:00\x1b[0m 整！\x1b[38;2;216;191;216m _(:з」∠)_', 1248]
2025-07-26	13:41:22	init			['\x1b[33m14:00:00\x1b[0m 整！\x1b[38;2;199;245;190m (=・ω・=)', 1117]
2025-07-26	13:47:59	init			['\x1b[33m14:00:00\x1b[0m 整！\x1b[38;2;199;245;190m _(:з」∠)_', 720]
2025-07-26	13:48:03	pinyin	[BOT] Pathstar_XD	SHI NI MA	是你马
2025-07-26	13:48:21	pinyin_add	[BOT] Pathstar_XD	shi ni ma 是你吗	添加成功: "shi,ni,ma": "是你吗"
2025-07-26	13:48:28	init			['\x1b[33m14:00:00\x1b[0m 整！\x1b[38;2;240;128;128m _(:з」∠)_', 691]
2025-07-26	13:49:39	init			['\x1b[33m14:00:00\x1b[0m 整！\x1b[38;2;254;219;193m (｡･ω･｡)', 620]
